party_code,party_name,cand_number,cand_id,issue_1,issue_2,issue_3,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19
A,Socialdemokratiet,1,A_1,"Gratis vuggestuer og børnehaver: Det er blevet alt for dyrt at bo i København, og mange presses ud af byen. Man kan ikke sænke boligpriserne med et fingerknips, men jeg vil gøre det billigere at bo her. Især børnefamilier er hårdt ramt. Derfor vil jeg gøre pasning i vuggestuer og børnehaver gratis. Det giver familier mere luft i økonomien og en ny, gratis velfærdsydelse til alle.","Sikre parkeringspladser nok i København: Jeg vil sikre, at der er parkeringspladser nok i København. For mange mennesker er bilen afgørende for at få hverdagen til at hænge sammen – især for pendlere og børnefamilier. Der skal være parkeringspladser nok i København. Partierne på venstrefløjen foreslår at nedlægge tusindvis af parkeringspladser. Det mener Socialdemokratiet, er den helt forkerte vej at gå.","Et mere retfærdigt boligmarked: Vi har fået alt for mange alt for dyre private lejeboliger i vores by. Med huslejer så høje, at det er de færreste, der har råd til at bo i dem. Derfor vil vi have markant færre dyre private lejeboliger, og markant flere ejerboliger og billige almene boliger. For os er det vigtigt, at leveomkostningerne kommer ned, så vi kan sikre, at vores børn kan flytte hjemmefra og stifte familie.",-0.5,-0.5,-0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,-1,1,0.5,1,1,1,0.5,-1
A,Socialdemokratiet,2,A_2,"Børne- ungdomspolitik: Alt for mange børn mistrives i dag, og det må vi tage alvorligt. Børn har brug for støtte, tryghed og stærke fællesskaber for at trives. Gennem sport og sociale fællesskaber kan vi skabe plads, og give børnene et stærkt fundament. Vi skal stå sammen og gøre mere for at sikre, at ingen børn falder udenfor.","Ældre: Mange ældre føler sig ensomme, og det kalder på handling. Vi skal skabe flere tryghedsboliger, hvor fællesskab og nærvær er en del af hverdagen. Her kan ældre få både tryghed og sociale relationer tæt på. Gennem stærke fællesskaber kan vi bekæmpe ensomhed og sikre, at ingen skal blive gamle alene.","Klima- og Miljø: Grønne byrum med vilde planter og plads til dyr styrker biodiversiteten og gør København til en sundere by. Ved at lade naturen få mere plads, skabe blomstrende arealer og bruge grønne tage og facader, får vi både flere levesteder til arter og et grønnere, mere levende bymiljø for mennesker.",-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,-1,1,-0.5,1,0.5,0.5,0.5,-0.5
A,Socialdemokratiet,3,A_3,"Flere billige boliger: København skal have råd til at bo i. Jeg vil bruge kravet om op til 40 % almene boliger i nye områder. Stoppe Airbnb-spekulation ved at stramme reglerne, så man kun kan udleje sin egen bolig. Og sikre mere blandet nybyggeri: flere andels- og ejerboliger – og hjem i mange størrelser til familier, singler og bofællesskaber.","En stærk socialpolitik: Sagsbehandlerne løber alt for stærkt, og hjælpen når for sent. Socialområdet skal løftes, så børn, unge og voksne får rettidig støtte. Skolevægring skal forebygges med tidlig indsats og støtte til både børn og forældre. Og udsatte borgere skal mødes med respekt og inddrages – ikke stigmatiseres.","Udvikling i alle bydele: København skal udvikles i alle bydele. Metroen skal udvides til områder som Brønshøj-Husum og Bispebjerg – ingen bydele skal nøjes med en letbane. Foreningslivet skal styrkes med bedre adgang til lokaler og idrætsfaciliteter, især i udsatte områder. Og vi skal skabe tryghed med bedre belysning og sociale indsatser, der får unge med i fællesskabet.",-0.5,-1,-0.5,0.5,1,0.5,1,1,0.5,-0.5,0.5,-1,1,-0.5,1,0.5,0.5,0.5,-0.5
A,Socialdemokratiet,4,A_4,"Billige boliger - med plads til alle: København skal have plads til alle, også studerende og dem uden millionindkomst. Der skal bygges mange flere boliger, så priserne ikke bare stiger og stiger. Jeg ønsker en by, hvor der bygges gode familieboliger side om side med ejerboliger.","Bedre skoler - mere faglighed: Alle børn skal have en god uddannelse. Vores skoler skal have fokus på en stærk faglighed, mere tid til afgørende og vigtige fag som dansk og matematik. Der skal skabes ro i undervisningen og respekt for både lærere og fællesskabet - kun sådan får vi plads til at støtte op om både stærke og svage elever.","Lokal velfærd - respekt for dine skattekroner: Vi skal investere klogt i at hjælpe de ensomme, de psykisk syge, misbrugerne, folk med handicap og vores ældre. Det kræver politikere med respekt for dine skattekroner, som vil prioritere lokal velfærd over luftig symbolpolitik. Alt for mange ressourcer ender i projekter, konsulentrapporter og midlertidige initiativer. Det er tid til at flytte fokus til konkret omsorg.",-0.5,0.5,-0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,-1,1,0.5,1,1,1,0.5,-1
A,Socialdemokratiet,5,A_5,"Stærke fællesskaber og trygge rammer for alle børn i København: I København skal alle børn have mulighed for en tryg og meningsfuld opvækst – uanset hvor i byen de bor. Det kræver ordentlige rammer i daginstitutioner og skoler, samt adgang til sport- og foreningslivets fællesskaber.","Et København hvor familielivet hænger sammen – uden benspænd og bureaukrati: At være familie i København skal ikke være en kamp mod systemet. Vi skal skabe en by, hvor det er nemt at få hverdagen til at hænge sammen – uanset om man er enlig forælder, har skæve arbejdstider eller jonglerer mellem job, institution og fritidsaktiviteter.",,-0.5,-0.5,-0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,1,0.5,0.5,0.5,-0.5
A,Socialdemokratiet,6,A_6,"Billigere ejer- og lejeboliger i hele København: For mange af os oplever at huslejen spiser en alt for stor del af vores indkomst, eller at det ganske enkelt ikke er muligt at finde en lejlighed man har råd til at købe. København er ved at blive en by for dem der allerede har, og ikke en by for dem der knokler for at skabe sig et bedre liv. Der vil jeg lave om på. Flere nyopførte boliger skal være billige både at købe og leje.","Til kamp mod unges livsfarlige misbrug af ulovlige stoffer: Den yngste i Danmark der lige nu er i misbrugsbehandling for opioider er kun 13 år gammel. Kriminelle har målrettet deres salg mod børn i skolealderen, og vi skal stoppe det omgående. For mange børn dør af stoffer de ikke engang kender til, uskyldige mennesker dør i trafikken i lattergas-relaterede ulykker og unges start på livet ender i kaos. Målrette hjælpen til unge er nødvendigt.","Råd til velfærd og omsorg: I København har vi tusindvis af dygtige og kompetente ansatte på vores skoler, plejehjem, hjemmeplejen, i socialrådgivningen og mange flere steder. De gør en verden til forskel for alle os som de hjælper. Derfor fortjener de også de bedste vilkår og en kommunal økonomi der hjælper dem og ikke modarbejder dem. Der skal være råd til velfærd og omsorg - særligt for vores børn og vores ældre.",-0.5,-0.5,-0.5,0.5,0.5,0.5,1,1,1,-0.5,0.5,-1,0.5,-0.5,1,0.5,1,0.5,-0.5
A,Socialdemokratiet,7,A_7,,,,-0.5,-0.5,-0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,-1,1,-0.5,1,1,1,1,-1
A,Socialdemokratiet,8,A_8,"Fri og uhindret adgang til havnefronten - nem affaldssortering og bopælspilgt nu: (1) Københavns havnefront og andre af byens herlighedsværdier skal være åbne og tilgængelige for alle – ikke hegnet ind af nogle få privilegerede. Jeg kæmper for fri og uhindret adgang – indtil sidste hegn er væk. (2) Nemmere affaldssortering! (3) Boliger står tomme og bruges til spekulation, mens mange mangler et sted at bo. Vi skal have bopælspligt i ALLE boliger – og flere billige lejligheder.","Styrk byens kultur og foreningsliv - stop kaosset med udlejningscykler/løbehjul: (4) kultur og foreningsliv er ikke flødeskum – det er fundament. Det giver fællesskab, oplevelser og mening. Derfor vil jeg kæmpe for, at det prioriteres – også når budgetterne er stramme. (5) udlejede cykler og elløbehjul fylder og flyder overalt. Det vil jeg have styr på og bedre kontrol med, så byen er tilgængelig for alle.","Skoleveje skal være sikre - og flere bade- og dyppezoner I havnen: (6) ingen børn skal være utrygge på vej I skole. Vi må prioritere sikre skoleveje – også selvom det betyder at lukke biltrafikken omkring skoler I myldretiden. Tryghed må være en selvfølge. (7) rent havnevand er en gave til byen. Jeg vil undersøge mulighederne for flere bade- og dyppezoner, så endnu flere kan få glæde af en dukkert – selvfølgelig med respekt for sikkerheden og havnetrafikken.",-0.5,-0.5,-0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,-1,0.5,-0.5,1,0.5,1,0.5,-0.5
A,Socialdemokratiet,9,A_9,Fællesskab mod ensomhed: Jeg kæmper for fællesskaber mod ensomhed og for en mere tilgængelig by for ældre og handicappede og mennesker med gangbesvær,"Boliger, der er til at betale: Fællesskab betyder også adgang til en bolig. Derfor skal vi have flere almene og ældreboliger – og nye boformer på tværs af generationer i København.","Flere mødesteder og aktiviteter i byen fx. kulturhuse: Sikre fællesskaber via flere grønne mødesteder, bænke i centrale områder, kulturhuse og idrætsfaciliteter i alle bydele.",-0.5,-0.5,-0.5,-0.5,0.5,0.5,1,0.5,0.5,0.5,-0.5,-1,0.5,-0.5,1,0.5,0.5,0.5,0.5
A,Socialdemokratiet,10,A_10,"København for dem der bor her: For mig skal København være en by for dem, der bor her. Det betyder boliger til at betale, gode skoler, mulighed for at parkere sin bil og ordentlig omsorg for vores ældre. Kort sagt: en by, der fungerer for almindelige mennesker – ikke kun for de rigeste","Ældre skal behandles med værdighed: Alt for mange ramt af ensomhed og oplever, at der ikke er tid nok til omsorg og nærvær. Jeg vil arbejde for flere aktiviteter og mødesteder, så ældre kan være en del af fællesskabet tæt på hvor de bor, samt et styrket netværk af besøgsvenner og frivillige, der kan skabe nærvær og tryghed og Mere tid til omsorg i hjemmeplejen, så personalet ikke kun har minutter, men også kan blive lidt længere","Almindelige mennekser skal ikke straffes for at eje en bil: Det skal være i orden at have bil i København. familier,ældre og pendlere har brug for bilen for at få hverdagen til at hænge sammen, og de skal ikke mødes med modstand eller straffegebyrer. Vi skal have flere parkeringspladser i hele byen, så man kan regne med at finde et sted at stille bilen. Bedre og billigere beboerlicenser, så det ikke bliver en luksus at parkere, samt underjordiske P anlæg",-0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5
